Name,Code,WalkData,MapMode,Music
Geffen Field 0,gef_fild00,gef_fild00.walk,Field,25.mp3
Geffen Field 1,gef_fild01,gef_fild01.walk,Field,23.mp3
Geffen Field 2,gef_fild02,gef_fild02.walk,Field,35.mp3
Geffen Field 3,gef_fild03,gef_fild03.walk,Field,35.mp3
Geffen Field 4,gef_fild04,gef_fild04.walk,Field,25.mp3
Geffen Field 5,gef_fild05,gef_fild05.walk,Field,23.mp3
Geffen Field 6,gef_fild06,gef_fild06.walk,Field,23.mp3
Geffen Field 7,gef_fild07,gef_fild07.walk,Field,25.mp3
Geffen Field 8,gef_fild08,gef_fild08.walk,Field,23.mp3
Geffen Field 9,gef_fild09,gef_fild09.walk,Field,23.mp3
Geffen Field 10,gef_fild10,gef_fild10.walk,Field,35.mp3
Geffen Field 11,gef_fild11,gef_fild11.walk,Field,04.mp3
Geffen Field 12,gef_fild12,gef_fild12.walk,Field,64.mp3
Geffen Field 13,gef_fild13,gef_fild13.walk,Field,66.mp3
Geffen Field 14,gef_fild14,gef_fild14.walk,Field,64.mp3
Geffen,geffen,geffen.walk,Town,13.mp3
Geffen Indoors,geffen_in,geffen_in.walk,Indoor,13.mp3
Geffen Tower,gef_tower,gef_tower.walk,Indoor,13.mp3
Geffen Dungeon 1F,gef_dun00,gef_dun00.walk,Dungeon,21.mp3
Geffen Dungeon 2F,gef_dun01,gef_dun01.walk,Dungeon,21.mp3
Geffenia,gef_dun02,gef_dun02.walk,Dungeon,50.mp3
Orc Village,in_orcs01,in_orcs01.walk,Indoor,35.mp3
Orc Dungeon 1F,orcsdun01,orcsdun01.walk,Dungeon,48.mp3
Orc Dungeon 2F,orcsdun02,orcsdun02.walk,Dungeon,48.mp3
Izlude,izlude,izlude.walk,Town,26.mp3
Izlude Indoors,izlude_in,izlude_in.walk,Indoor,26.mp3
Undersea Tunnel 1F,iz_dun00,iz_dun00.walk,Dungeon,29.mp3
Undersea Tunnel 2F,iz_dun01,iz_dun01.walk,Dungeon,29.mp3
Undersea Tunnel 3F,iz_dun02,iz_dun02.walk,Dungeon,29.mp3
Undersea Tunnel 4F,iz_dun03,iz_dun03.walk,Dungeon,49.mp3
Undersea Tunnel 5F,iz_dun04,iz_dun04.walk,Dungeon,49.mp3
Juperos 1F,juperos_01,juperos_01.walk,Dungeon,89.mp3
Juperos Core Elevator,jupe_ele,jupe_ele.walk,Indoor,89.mp3
Mt. Mjolnir 1,mjolnir_01,mjolnir_01.walk,Field,31.mp3
Mt. Mjolnir 2,mjolnir_02,mjolnir_02.walk,Field,33.mp3
Mt. Mjolnir 3,mjolnir_03,mjolnir_03.walk,Field,33.mp3
Mt. Mjolnir 4,mjolnir_04,mjolnir_04.walk,Field,33.mp3
Mt. Mjolnir 5,mjolnir_05,mjolnir_05.walk,Field,34.mp3
Mt. Mjolnir 6,mjolnir_06,mjolnir_06.walk,Field,31.mp3
Mt. Mjolnir 7,mjolnir_07,mjolnir_07.walk,Field,31.mp3
Mt. Mjolnir 8,mjolnir_08,mjolnir_08.walk,Field,33.mp3
Mt. Mjolnir 9,mjolnir_09,mjolnir_09.walk,Field,31.mp3
Mt. Mjolnir 10,mjolnir_10,mjolnir_10.walk,Field,34.mp3
Mt. Mjolnir 11,mjolnir_11,mjolnir_11.walk,Field,34.mp3
Mt. Mjolnir 12,mjolnir_12,mjolnir_12.walk,Field,34.mp3
Morroc Field 1,moc_fild01,moc_fild01.walk,Field,24.mp3
Morroc Field 2,moc_fild02,moc_fild02.walk,Field,03.mp3
Morroc Field 3,moc_fild03,moc_fild03.walk,Field,03.mp3
Morroc Field 4,moc_fild04,moc_fild04.walk,Field,24.mp3
Morroc Field 5,moc_fild05,moc_fild05.walk,Field,24.mp3
Morroc Field 6,moc_fild06,moc_fild06.walk,Field,24.mp3
Morroc Field 7,moc_fild07,moc_fild07.walk,Field,24.mp3
Morroc Field 8,moc_fild08,moc_fild08.walk,Field,37.mp3
Morroc Field 9,moc_fild09,moc_fild09.walk,Field,37.mp3
Morroc Field 10,moc_fild10,moc_fild10.walk,Field,37.mp3
Morroc Field 11,moc_fild11,moc_fild11.walk,Field,37.mp3
Morroc Field 12,moc_fild12,moc_fild12.walk,Field,37.mp3
Morroc Field 13,moc_fild13,moc_fild13.walk,Field,03.mp3
Morroc Field 14,moc_fild14,moc_fild14.walk,Field,37.mp3
Morroc Field 15,moc_fild15,moc_fild15.walk,Field,37.mp3
Morroc Field 16,moc_fild16,moc_fild16.walk,Field,45.mp3
Morroc Field 17,moc_fild17,moc_fild17.walk,Field,37.mp3
Morroc Field 18,moc_fild18,moc_fild18.walk,Field,37.mp3
Morroc Field 19,moc_fild19,moc_fild19.walk,Field,37.mp3
Morroc,morocc,morocc.walk,Town,11.mp3
Morroc Castle,moc_castle,moc_castle.walk,Indoor,11.mp3
Morroc Indoors,morocc_in,morocc_in.walk,Indoor,11.mp3
Morroc Pyramids,moc_ruins,moc_ruins.walk,None,11.mp3
Pyramids 1F,moc_pryd01,moc_pryd01.walk,Dungeon,22.mp3
Pyramids 2F,moc_pryd02,moc_pryd02.walk,Dungeon,22.mp3
Pyramids 3F,moc_pryd03,moc_pryd03.walk,Dungeon,22.mp3
Pyramids 4F,moc_pryd04,moc_pryd04.walk,Dungeon,22.mp3
Pyramids Passageway,moc_prydb1,moc_prydb1.walk,Dungeon,22.mp3
Pyramids B1F,moc_pryd05,moc_pryd05.walk,Dungeon,22.mp3
Pyramids B2F,moc_pryd06,moc_pryd06.walk,Dungeon,22.mp3
Sphinx B1F,in_sphinx1,in_sphinx1.walk,Dungeon,38.mp3
Sphinx B2F,in_sphinx2,in_sphinx2.walk,Dungeon,38.mp3
Sphinx B3F,in_sphinx3,in_sphinx3.walk,Dungeon,38.mp3
Sphinx B4F,in_sphinx4,in_sphinx4.walk,Dungeon,38.mp3
Sphinx B5F,in_sphinx5,in_sphinx5.walk,Dungeon,38.mp3
Ant Hell 1F,anthell01,anthell01.walk,Dungeon,46.mp3
Ant Hell 2F,anthell02,anthell02.walk,Dungeon,46.mp3
Payon Field 1,pay_fild01,pay_fild01.walk,Field,03.mp3
Payon Field 2,pay_fild02,pay_fild02.walk,Field,03.mp3
Payon Field 3,pay_fild03,pay_fild03.walk,Field,03.mp3
Payon Field 4,pay_fild04,pay_fild04.walk,Field,03.mp3
Payon Field 5,pay_fild05,pay_fild05.walk,Field,36.mp3
Payon Field 6,pay_fild06,pay_fild06.walk,Field,36.mp3
Payon Field 7,pay_fild07,pay_fild07.walk,Field,36.mp3
Payon Field 8,pay_fild08,pay_fild08.walk,Field,03.mp3
Payon Field 9,pay_fild09,pay_fild09.walk,Field,36.mp3
Payon Field 10,pay_fild10,pay_fild10.walk,Field,36.mp3
Payon Field 11,pay_fild11,pay_fild11.walk,Field,03.mp3
Payon,payon,payon.walk,Town,14.mp3
Old Payon,payon_mem,payon_mem.walk,Town,14.mp3
Payon Indoors,payon_in01,payon_in01.walk,Indoor,14.mp3
